desc,label
"An absolute masterpiece of cinema. The DVD quality is top-notch and the director's cut is a must-watch.",0
"This 4K OLED TV has incredible resolution and response time. Perfect for gaming and watching movies.",1
"The stainless steel blender is powerful and easy to clean. Makes perfect smoothies every morning.",2
"Action-packed Blu-ray with amazing sound effects and behind-the-scenes extras. Highly recommended for action fans.",0
"Wireless noise-canceling headphones with deep bass. Battery life lasts for days and they are super comfortable.",1
"A classic Criterion Collection DVD with a beautifully restored print and great supplemental features.",0
"The cast iron skillet heats up evenly and is perfect for searing steaks and frying eggs.",2
"An incredible documentary on Blu-ray that looks stunning in 4K HDR. A visual treat.",0
"Smart home security cameras with night vision and 2-way audio. Easy to install via the app.",1
"High-end espresso machine with a built-in grinder. Makes cafe-quality lattes at home.",2
